# Program:featureCounts v1.5.0-p1;
Geneid	Chr	Start	End	Strand	Length	s1	s2	s3	s4	s5	s6	s7	s8
ENSG00000269831.1	chr1;chr1;chr1	738532;738788;739121	738618;738812;739137	-;-;-	129	0	0	0	0	0	0	0	0
ENSG00000240453.1	chr1;chr1	745489;752753	745550;753092	-;-	402	0	0	0	0	0	0	0	0
ENSG00000177757.1	chr1;chr1	752751;754103	753582;755214	+;+	1944	1	0	2	1	0	1	0	0
ENSG00000225880.4	chr1	761586	762902	-	1317	14	4	6	14	6	13	19	8
ENSG00000228794.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	762988;764383;766985;776580;783034;784864;785558;786728;788051;788771	763155;764484;767057;777400;783186;784982;785731;787490;788146;794826	+;+;+;+;+;+;+;+;+;+	8525	138	110	101	108	69	62	86	67
ENSG00000230368.2	chr1;chr1;chr1;chr1;chr1	803451;804908;805466;809492;812126	804055;804955;805581;810535;812283	-;-;-;-;-	1971	0	0	1	0	0	0	1	0
ENSG00000234711.1	chr1	808672	809729	+	1058	0	0	0	0	0	0	0	0
ENSG00000269308.1	chr1;chr1;chr1	818043;819496;819961	818058;819513;819983	+;+;+	57	0	0	0	0	0	0	0	0
ENSG00000272438.1	chr1;chr1	840214;851130	840337;851356	+;+	351	0	0	1	1	2	1	3	0
ENSG00000230699.2	chr1;chr1	846815;847325	846853;850328	+;+	3043	0	4	1	5	0	4	2	0
ENSG00000241180.1	chr1;chr1	849551;850183	849824;850351	+;+	443	0	0	0	0	1	0	0	0
ENSG00000223764.2	chr1	852245	856396	-	4152	45	38	77	70	44	128	150	52
ENSG00000187634.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	860260;860530;861118;861302;865535;866419;871152;874420;874655;875726;876456;877483;878633;879078	860328;860569;861180;861393;865716;866469;871276;874509;874840;875842;876686;878438;878757;879955	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3205	57	66	133	132	90	256	275	186
ENSG00000268179.1	chr1;chr1;chr1;chr1;chr1;chr1	861264;863255;865556;865666;865990;866426	861406;863261;865660;865719;865996;866445	-;-;-;-;-;-	336	0	0	0	0	0	0	0	0
ENSG00000188976.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	879584;880422;880699;880898;881553;881782;883511;883870;886507;887380;887792;888555;889162;889384;891303;891475;892274;892479;894595	880180;880526;880802;881033;881666;882440;883612;883983;886618;887519;887980;888668;889272;889903;891393;891595;892405;894461;894689	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5539	800	661	944	1061	764	966	1149	1016
ENSG00000187961.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	895967;896673;897206;898084;898412;898717;898932;899487;899729;900343	896180;897130;897858;898297;898633;898884;899388;899560;899910;901095	+;+;+;+;+;+;+;+;+;+	3395	185	131	191	285	122	289	309	189
ENSG00000187583.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	901877;902084;905657;905901;906066;906457;906704;907455;907668;908241;908566;908880;909213;909696;909822;911092	901994;902183;905803;905981;906386;906588;906903;907530;907804;908390;908706;909020;909431;909744;910488;911245	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2833	66	60	99	91	84	74	101	34
ENSG00000187642.5	chr1;chr1;chr1;chr1;chr1	910579;911879;914261;916517;917445	911649;912021;916037;916553;917497	-;-;-;-;-	3081	0	0	1	1	1	1	0	0
ENSG00000272512.1	chr1	931346	933431	-	2086	13	11	12	21	16	41	29	22
ENSG00000188290.6	chr1;chr1	934342;934906	934812;935552	-;-	1118	49	40	32	51	20	68	53	75
ENSG00000231702.2	chr1	943456	943609	-	154	0	0	0	0	0	0	0	0
ENSG00000224969.1	chr1;chr1	947377;948297	947570;948573	-;-	471	0	0	0	0	0	0	0	0
ENSG00000187608.5	chr1;chr1	948803;949364	948956;949920	+;+	711	384	451	558	412	576	790	354	857
ENSG00000188157.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	955503;957581;969486;970247;976045;976553;976858;977336;978619;978918;979203;979489;979714;980541;980739;981113;981344;981540;981777;982200;982581;982855;983156;983392;983909;984616;984946;985283;985613;985807;986106;986412;986633;986833;987108;987366;989828;990204	955753;957842;970083;970704;976260;976777;977082;977542;978837;979112;979403;979637;979819;980657;980903;981256;981468;981729;982115;982337;982834;983067;983275;983745;984439;984831;985175;985417;985709;985971;986217;986423;986749;987025;987195;989357;989931;991496	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10756	1232	1073	1509	2735	1901	1924	1639	1024
ENSG00000242590.1	chr1;chr1	990413;991278	990595;991496	+;+	402	0	0	0	0	0	0	0	0
ENSG00000217801.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	995114;995660;996400;998459;998860;999590;999870;1000732;1001210;1001967;1002946;1003249;1003957;1004588	995226;995773;996497;998581;998946;999781;999969;1000855;1001836;1002047;1003026;1003383;1004104;1004735	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2171	4	2	5	14	9	3	0	1
ENSG00000273443.1	chr1;chr1	997588;998441	998188;998668	-;-	829	0	0	0	0	0	1	0	0
ENSG00000237330.2	chr1;chr1	1006346;1009396	1007955;1009687	-;-	1902	17	12	10	19	16	18	17	10
ENSG00000131591.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1017198;1020631;1021258;1022519;1025733;1027946;1041336;1042030;1050402;1051440	1019886;1020690;1021392;1023016;1027674;1028193;1041507;1042251;1050455;1051741	-;-;-;-;-;-;-;-;-;-	6322	132	112	205	285	163	276	292	242
ENSG00000223823.1	chr1;chr1;chr1	1072397;1076205;1078119	1072490;1076412;1079436	+;+;+	1620	4	6	7	11	5	11	13	7
ENSG00000207730.1	chr1	1102484	1102578	+	95	3	2	6	8	5	4	13	5
ENSG00000207607.1	chr1	1103243	1103332	+	90	8	3	23	36	16	23	26	15
ENSG00000198976.1	chr1	1104385	1104467	+	83	5	2	27	48	28	57	55	43
ENSG00000272141.1	chr1	1104737	1105723	+	987	78	69	420	542	234	624	581	613
ENSG00000205231.1	chr1;chr1	1108436;1114745	1111776;1114935	-;-	3532	0	0	0	1	0	0	1	0
ENSG00000162571.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1109264;1109646;1109804;1109901;1114569;1115037;1115414;1115863;1117121;1117741;1118256;1119300;1120349;1131766;1131980;1132473;1132818	1109306;1109701;1109869;1110414;1114713;1115233;1115720;1116264;1117195;1117826;1118427;1119471;1121244;1131868;1132096;1132566;1133315	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3943	1	0	2	6	5	1	6	0
ENSG00000186891.9	chr1;chr1;chr1;chr1;chr1	1138888;1139414;1139779;1140750;1141765	1139348;1139616;1139866;1141060;1142071	-;-;-;-;-	1370	78	52	113	123	148	108	136	106
ENSG00000186827.6	chr1;chr1;chr1;chr1;chr1	1146706;1147322;1148018;1148372;1149363	1147212;1147518;1148084;1149165;1149518	-;-;-;-;-	1721	127	101	105	92	113	105	169	150
ENSG00000078808.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1152288;1153838;1158624;1159212;1162652;1163848;1167272	1153184;1156731;1158737;1159348;1162699;1164326;1167411	-;-;-;-;-;-;-	4709	1887	1686	2561	2964	2251	2992	2682	2127
ENSG00000176022.3	chr1	1167629	1170421	+	2793	174	89	131	154	122	158	149	164
ENSG00000184163.3	chr1;chr1;chr1;chr1;chr1	1177826;1178215;1179334;1179761;1181894	1178026;1178932;1179655;1180104;1182102	-;-;-;-;-	1794	24	26	81	120	63	234	112	162
ENSG00000260179.1	chr1	1185157	1186714	-	1558	0	1	1	1	1	1	2	2
ENSG00000160087.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1189289;1191425;1192372;1192588;1197550;1198233;1200163;1201478;1203113;1206890;1208233	1190867;1191715;1192510;1192690;1197770;1198949;1200210;1201670;1203372;1207017;1209265	-;-;-;-;-;-;-;-;-;-;-	4712	493	387	488	573	431	543	543	545
ENSG00000230415.1	chr1;chr1;chr1	1210603;1214448;1215691	1210679;1214773;1215800	+;+;+	513	3	5	7	8	5	3	9	4
ENSG00000162572.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1215816;1217305;1217489;1219358;1220951;1221306;1222148;1222489;1222888;1223319;1225651;1225857;1226017;1226275;1226445;1226634	1216990;1217390;1217699;1219470;1221044;1221658;1222355;1222679;1223216;1223417;1225768;1225935;1226074;1226333;1226520;1227409	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4025	65	51	100	90	74	73	97	49
ENSG00000131584.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1227756;1229203;1229470;1229782;1230098;1230827;1231116;1231395;1231591;1231805;1233202;1233393;1233750;1233947;1235353;1235538;1235889;1236828;1238302;1238542;1242452;1242717;1243149;1244822	1229088;1229313;1229579;1230008;1230388;1230934;1231318;1231489;1231660;1232013;1233313;1233645;1233801;1235285;1235448;1235582;1236072;1237426;1238355;1241309;1242536;1242763;1243398;1244989	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8809	543	426	649	1178	596	1060	1229	706
ENSG00000169972.7	chr1;chr1;chr1;chr1;chr1	1243947;1244168;1244466;1245416;1246710	1244100;1244352;1245231;1246451;1247057	+;+;+;+;+	2489	128	82	134	207	133	172	180	183
ENSG00000127054.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1246965;1247398;1247606;1249112;1251537;1254059;1257288;1258151;1259961	1247304;1247527;1248972;1251077;1252830;1256476;1257364;1258667;1260071	-;-;-;-;-;-;-;-;-	8220	823	670	876	1207	767	1145	1234	1061
ENSG00000240731.1	chr1;chr1	1252961;1254003	1253279;1254069	-;-	386	15	21	17	30	17	9	14	5
ENSG00000224051.2	chr1;chr1;chr1;chr1	1260136;1260621;1262216;1262621	1260482;1260975;1262412;1264277	+;+;+;+	2556	316	225	284	418	345	448	474	383
ENSG00000169962.4	chr1;chr1;chr1;chr1;chr1;chr1	1266694;1267018;1267404;1268301;1268639;1268886	1266916;1267318;1268186;1268504;1268759;1270686	+;+;+;+;+;+	3433	105	71	148	134	117	139	213	148
ENSG00000107404.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1270656;1273357;1273649;1273902;1274667;1274962;1275116;1275418;1275627;1275790;1277047;1277743;1278069;1284276	1271895;1273563;1273816;1274033;1274819;1275029;1275192;1275557;1275696;1275883;1277536;1277864;1278138;1284730	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3486	750	571	636	1025	790	684	796	534
ENSG00000162576.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1288069;1289410;1289573;1290062;1292061;1293836;1296622	1289326;1289486;1289889;1291132;1292084;1293923;1297157	-;-;-;-;-;-;-	3371	338	226	426	565	277	724	1000	555
ENSG00000175756.9	chr1;chr1	1309110;1309380	1309282;1310875	-;-	1669	459	379	593	719	572	1055	1037	1123
ENSG00000223663.2	chr1	1314046	1314412	+	367	0	0	0	0	0	0	1	1
ENSG00000221978.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1321091;1323157;1323334;1324330;1324726;1325610;1325839;1326146;1328460;1330565;1333613;1333977;1334368	1322962;1323249;1324123;1324427;1324853;1325751;1325943;1328183;1328840;1330917;1333746;1334336;1334708	-;-;-;-;-;-;-;-;-;-;-;-;-	6835	1728	1439	2315	2784	1888	1861	2348	1561
ENSG00000224870.3	chr1	1334902	1337426	+	2525	216	194	220	281	180	227	247	254
ENSG00000242485.1	chr1;chr1;chr1	1337288;1340489;1342511	1337981;1342399;1342693	-;-;-	2788	629	496	771	724	585	736	823	868
ENSG00000264293.1	chr1	1340841	1341132	-	292	0	0	0	0	0	0	0	0
ENSG00000272455.1	chr1	1344476	1345998	+	1523	20	7	19	23	18	16	20	12
ENSG00000235098.4	chr1;chr1;chr1	1353800;1355432;1356177	1354929;1355972;1357149	-;-;-	2644	28	14	44	60	47	19	25	23
ENSG00000225905.1	chr1;chr1	1355625;1357849	1355944;1358071	+;+	543	0	0	1	0	0	0	1	0
ENSG00000205116.3	chr1;chr1	1361508;1362934	1361765;1363167	+;+	492	0	0	0	0	0	0	0	0
ENSG00000225285.1	chr1;chr1;chr1	1365919;1367185;1369558	1366334;1367223;1369953	-;-;-	851	4	6	15	14	10	12	20	5
ENSG00000179403.10	chr1;chr1;chr1;chr1	1370241;1370903;1372187;1374461	1370526;1371201;1372864;1378262	+;+;+;+	5065	714	627	1053	1536	1059	887	951	602
ENSG00000215915.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1385069;1387426;1387745;1389725;1390840;1391171;1391605;1392509;1394541;1396130;1397863;1403764	1386138;1387502;1387814;1389880;1390899;1391296;1391729;1392560;1394611;1396297;1398088;1405538	+;+;+;+;+;+;+;+;+;+;+;+	3976	13	4	26	28	23	17	19	7
ENSG00000160072.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1407143;1412654;1413406;1414429;1416247;1417518;1417925;1418427;1418865;1421162;1421924;1423243;1424584;1430865	1407469;1412730;1414125;1414488;1416316;1417683;1418042;1418486;1420551;1421615;1422048;1423294;1426051;1433228	+;+;+;+;+;+;+;+;+;+;+;+;+;+	7748	397	306	486	670	392	580	727	617
ENSG00000197785.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1447531;1447910;1451392;1452450;1453001;1454301;1455521;1455928;1458124;1458891;1459219;1459653;1460620;1461841;1462541;1463075;1464603;1469306	1447853;1448070;1451468;1452792;1453155;1454370;1455686;1455997;1458279;1458947;1459344;1459777;1460671;1461911;1462618;1463242;1464711;1470067	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3069	321	192	296	406	254	350	377	406
ENSG00000205090.4	chr1;chr1;chr1;chr1;chr1	1470554;1470969;1475064;1475670;1475800	1470887;1471177;1475170;1475737;1475833	-;-;-;-;-	752	1	2	5	11	3	9	5	5
ENSG00000160075.10	chr1;chr1;chr1;chr1;chr1	1477053;1479249;1480018;1497725;1509858	1477547;1479367;1481867;1500296;1510249	-;-;-;-;-	5428	637	550	639	577	475	897	902	969
ENSG00000215791.2	chr1;chr1	1497726;1498937	1498935;1499904	-;-	2178	0	0	0	0	0	0	0	0
ENSG00000215014.3	chr1	1510355	1511373	+	1019	5	2	2	2	5	3	1	0
ENSG00000236684.1	chr1;chr1	1515136;1515314	1515312;1515379	+;+	243	0	0	0	0	0	0	0	0
ENSG00000228594.1	chr1	1533392	1535476	-	2085	23	15	33	35	23	67	42	65
ENSG00000272106.1	chr1	1549138	1551175	-	2038	31	18	40	33	27	50	69	46
ENSG00000197530.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1550795;1551259;1551654;1558502;1559154;1560124;1560345;1560666;1562217;1562676;1563399;1564414;1564765;1565672	1551013;1551480;1554590;1559079;1559589;1560281;1560565;1562134;1562587;1563210;1564102;1564691;1565084;1565990	+;+;+;+;+;+;+;+;+;+;+;+;+;+	8767	252	190	262	596	302	644	568	460
ENSG00000189409.8	chr1;chr1;chr1;chr1;chr1	1567474;1568089;1568360;1569827;1570535	1567753;1568292;1569707;1570162;1570639	+;+;+;+;+	2273	1	0	0	3	1	9	4	3
ENSG00000248333.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1570603;1571299;1571695;1572044;1572259;1572443;1572770;1573124;1573862;1575638;1576409;1577023;1577267;1577747;1580487;1580821;1580940;1581134;1581314;1581359;1581472;1586823;1588706;1588825;1590375	1571218;1571488;1571843;1572160;1572366;1572564;1572875;1573245;1573952;1575813;1576474;1577181;1577362;1577869;1580665;1580869;1581004;1581245;1581330;1581409;1581539;1586938;1588714;1588948;1590473	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3130	284	246	334	339	293	429	451	405
ENSG00000272004.1	chr1;chr1	1590786;1593792	1590913;1594063	+;+	400	0	1	0	0	2	2	4	1
ENSG00000189339.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1592939;1599766;1601103;1601864;1606902;1607503;1607817;1622415;1623888	1597458;1599911;1601590;1603068;1607029;1607638;1608285;1622832;1624167	-;-;-;-;-;-;-;-;-	7790	660	565	590	928	597	492	595	305
ENSG00000269737.1	chr1	1603429	1604850	+	1422	0	0	1	1	0	0	0	0
ENSG00000269227.1	chr1;chr1	1604714;1605440	1604818;1605836	+;+	502	0	0	0	0	0	0	0	0
ENSG00000215914.3	chr1;chr1;chr1;chr1;chr1;chr1	1631369;1631579;1632346;1632587;1632800;1633047	1631511;1631953;1632510;1632697;1632926;1633249	+;+;+;+;+;+	1124	0	0	1	1	2	1	2	1
ENSG00000008128.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1634169;1634519;1635478;1637078;1638848;1639619;1640233;1640477;1640918;1643703;1647785;1650605;1653035;1653905;1655239	1634438;1635434;1636464;1637171;1639038;1639684;1640391;1640572;1641079;1643866;1647917;1650894;1653318;1654271;1655766	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4707	29	31	21	26	19	44	59	51
ENSG00000268575.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1634175;1634519;1634915;1635263;1635662;1635989;1636343;1637081;1638964;1639619;1640233;1640477;1640957;1643703;1647785;1650797;1653035;1654027;1666129;1666643	1634438;1634708;1635063;1635434;1635783;1636094;1636464;1637171;1639023;1639684;1640391;1640572;1641079;1643839;1647917;1650894;1653150;1654270;1666274;1669127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5079	30	43	10	9	6	15	21	15
ENSG00000227775.3	chr1;chr1;chr1;chr1;chr1	1655951;1661685;1663993;1667256;1668293	1656202;1663343;1664283;1667414;1668690	+;+;+;+;+	2759	1	0	1	0	1	0	1	0
ENSG00000215790.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1656277;1663681;1666129;1666643;1669760;1670361;1670675;1675690;1677163	1656861;1663962;1666274;1666713;1669887;1670496;1671143;1676107;1677431	-;-;-;-;-;-;-;-;-	2504	24	15	5	19	22	7	12	8
ENSG00000008130.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1682671;1685006;1685490;1685983;1686813;1687443;1687942;1689804;1690540;1691173;1693104;1696667;1709728;1710185;1710596;1711344;1711721	1684499;1685088;1685822;1686335;1686915;1687782;1688749;1690081;1690682;1691341;1693474;1696885;1709909;1710229;1710635;1711508;1711896	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5637	1050	985	1138	1558	1237	1083	1132	760
ENSG00000078369.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1716729;1718761;1719426;1721834;1724684;1735858;1737914;1747195;1749126;1756427;1763671;1770629;1771068;1821803;1822259	1718492;1718876;1720708;1722035;1725636;1736020;1737977;1747301;1749825;1756993;1763724;1770677;1771121;1821840;1822495	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6351	3841	3335	3318	3905	3492	2776	2684	2296
